,Mass g,Density g/cm3,Pressure dyn/cm2,Temperature K,Radius cm,Luminosity erg/s,Energy Generation Rate erg/s/g,Opacity,Del_ad,Del,Radiative or Convective
11,5.56927818749353e+29,81.58064029046957,1.9120999340501952e+17,17388601.862403493,1175225061.7139115,3.985932205023584e+31,69.32005705201954,0.9692476870395921,0.4,0.5724007788518073,Convects
12,5.569981874935307e+29,81.5806124097203,1.912098843611608e+17,17388597.89583138,1175274757.8299434,3.9864200009033126e+31,69.31987049934907,0.9692479367484748,0.4,0.5723988487344541,Convects
13,5.577018749353073e+29,81.58033366746709,1.9120879417910234e+17,17388558.2393671,1175771488.9371579,3.9912978875110696e+31,69.31800544337402,0.96925043326347,0.4,0.5723795678284216,Convects
14,5.647387493530737e+29,81.57755272815983,1.9119791785153456e+17,17388162.59463001,1180715972.6893628,4.0400695468374376e+31,69.29940166786605,0.9692753413890142,0.4,0.572188758587203,Convects
15,6.351074935307377e+29,81.55035402487073,1.9109155609403792e+17,17384292.794596385,1228040939.4359667,4.527077135411995e+31,69.11777517155424,0.9695190527247103,0.4,0.5704569897872892,Convects
16,1.0459661228746982e+30,81.40794859244411,1.9053506137033856e+17,17364024.548032615,1451153737.5958827,7.346910165239731e+31,68.17640842960358,0.9707980259428632,0.4,0.5638607312934154,Convects
17,1.6335901725914532e+30,81.2339468297727,1.8985597857373987e+17,17339243.31071297,1684650312.362223,1.1319019756340572e+32,67.04769835411096,0.9723675624426308,0.4,0.5583189878972541,Convects
18,2.5226473206115943e+30,81.00675106836827,1.8897075954351798e+17,17306859.726699937,1948497080.8904228,1.721414472430621e+32,65.60874354639314,0.9744282447014921,0.4,0.5525642772323276,Convects
19,3.968955613373711e+30,80.68823919674263,1.877325501027074e+17,17261410.065907616,2268260646.5340056,2.6557566580448924e+32,63.65581382610753,0.9773389326271177,0.4,0.5455998616833595,Convects
20,6.298492883156641e+30,80.24835251170322,1.8602787256524506e+17,17198542.861938775,2648750161.5153637,4.107579102517334e+32,61.07707778175657,0.9814012280669673,0.4,0.5368955596598256,Convects
